"HMM"	"PS"
"KAA0707174.1"	0	3329
"KAA0707544.1"	0	2579
"KAA0707667.1"	15.8	0
"KAA0708263.1"	46.7	1638
"KAA0708961.1"	0	3160
"KAA0709245.1"	0	2707
"KAA0709567.1"	0	2621
"KAA0709602.1"	0	3249
"KAA0709963.1"	0	3538
"KAA0710141.1"	0	3528
"KAA0710143.1"	0	1696
"KAA0710147.1"	0	3323
"KAA0710290.1"	101.6	2454
"KAA0710908.1"	0	1692
"KAA0711003.1"	0	2086
"KAA0711286.1"	0	2797
"KAA0712495.1"	0	2688
"KAA0712514.1"	0	2087
"KAA0712515.1"	0	1653
"KAA0713862.1"	0	2991
"KAA0714008.1"	0	3640
"KAA0714078.1"	0	3484
"KAA0714484.1"	0	2652
"KAA0714503.1"	30.1	2239
"KAA0714700.1"	75.8	2000
"KAA0714958.1"	0	2667
"KAA0716222.1"	0	2197
"KAA0716325.1"	98.9	2729
"KAA0716382.1"	0	2831
"KAA0717051.1"	0	3373
"KAA0717296.1"	42.3	2318
"KAA0717453.1"	95.9	2552
"KAA0717801.1"	0	3502
"KAA0718065.1"	38.6	1765
"KAA0718502.1"	0	1507
"KAA0718850.1"	0	3115
"KAA0719895.1"	0	3490
"KAA0720361.1"	0	3535
"KAA0720553.1"	0	2051
"KAA0720969.1"	88.4	1895
"KAA0721104.1"	0	2332
"KAA0721394.1"	0	1655
"KAA0721945.1"	0	1593
"KAA0722684.1"	0	3265
"KAA0723460.1"	7.2	0
"KAA0723983.1"	0	1485
"KAA0724466.1"	0	2331
"KAA0724614.1"	163.5	1761
"KAA0725517.1"	283.8	2569
"KAF3832480.1"	0	3012
"KAF3832492.1"	0	2485
"KAF3833091.1"	0	2206
"KAF3833995.1"	0	3576
"KAF3834115.1"	106.1	2761
"KAF3834531.1"	0	1412
"KAF3835880.1"	42.6	0
"KAF3835916.1"	42.3	1427
"KAF3836281.1"	0	1619
"KAF3836397.1"	0	2538
"KAF3836655.1"	0	1856
"KAF3838214.1"	0	3179
"KAF3838667.1"	0	2384
"KAF3839180.1"	97.6	2337
"KAF3839702.1"	0	2102
"KAF3840163.1"	37.2	2104
"KAF3840693.1"	0	3321
"KAF3840958.1"	0	2309
"KAF3842126.1"	36.9	2005
"KAF3844319.1"	0	1455
"KAF3845118.1"	0	3528
"KAF3846102.1"	0	2985
"KAF3846123.1"	0	1852
"KAF3847417.1"	64.5	1821
"KAF3847759.1"	0	3464
"KAF3848576.1"	0	2184
"KAF3849054.1"	100	2649
"KAF3849242.1"	0	2687
"KAF3849860.1"	0	2408
"KAF3849957.1"	88.9	2369
"KAF3850786.1"	0	2695
"KAF3851063.1"	0	1793
"KAF3851238.1"	0	2566
"KAF3851464.1"	44.5	2242
"KAF3851717.1"	0	1621
"KAF3854436.1"	0	1722
"KAF3855828.1"	0	2531
"KAF3856862.1"	0	1911
"KAF3859539.1"	100.9	2233
"KAF3859864.1"	0	3150
"KAF3860267.1"	28.7	1423
"KAF3860430.1"	0	3114
"KAF4070414.1"	0	2984
"KAF4070583.1"	45.6	2136
"KAF4070723.1"	0	2396
"KAF4071239.1"	309.5	2429
"KAF4071360.1"	303.3	2792
"KAF4071728.1"	0	2523
"KAF4071797.1"	325.8	2743
"KAF4072121.1"	75	2098
"KAF4072190.1"	0	2735
"KAF4072211.1"	92.8	2762
"KAF4072339.1"	0	3667
"KAF4072632.1"	0	1960
"KAF4072685.1"	294.2	2566
"KAF4072963.1"	0	2369
"KAF4074280.1"	0	3556
"KAF4074351.1"	41.7	2293
"KAF4074480.1"	97.9	2729
"KAF4074926.1"	0	1749
"KAF4074960.1"	311.7	2762
"KAF4075054.1"	0	3623
"KAF4075174.1"	0	1607
"KAF4075693.1"	221.8	2274
"KAF4075803.1"	82.2	2559
"KAF4075839.1"	0	3176
"KAF4076810.1"	98	2589
"KAF4077064.1"	0	3570
"KAF4077618.1"	0	3289
"KAF4077756.1"	321.4	2767
"KAF4077766.1"	321.3	2767
"KAF4078014.1"	0	3305
"KAF4078515.1"	61	2065
"KAF4079117.1"	0	2221
"KAF4079896.1"	86.5	1848
"KAF4079980.1"	0	2192
"KAF4080413.1"	0	3375
"KAF4080415.1"	0	3598
"KAF4080467.1"	0	3388
"KAF4080847.1"	18.7	0
"KAF4080848.1"	312.4	2941
"KAF4080854.1"	58.6	0
"KAF4080863.1"	314.1	2438
"KAF4081034.1"	0	2133
"KAF4081137.1"	0	2966
"KAF4081551.1"	159.2	1530
"KAF4081638.1"	0	3273
"KAF4081649.1"	317.7	2864
"KAF4081650.1"	312.9	2730
"KAF4081766.1"	0	3559
"KAF4081810.1"	0	3647
"KAF4081826.1"	0	3019
"KAF4082026.1"	0	2719
"KAF4082128.1"	6.1	2196
"KAF4082186.1"	0	3113
"KAF4082213.1"	76.4	1823
"KAF4082399.1"	10.9	1608
"KAF4082808.1"	0	2475
"KAF4083072.1"	135.1	2329
"KAF4083073.1"	306.6	2318
"KAF4083074.1"	0	2725
"KAF4083551.1"	0	2363
"KAF4083693.1"	0	2270
"KAF4083760.1"	0	1815
"KAF4083787.1"	0	3091
"KAF4084306.1"	0	2936
"KAF4084546.1"	212.6	0
"KAF4085348.1"	0	2571
"KAF4085416.1"	310.4	2653
"KAF4085648.1"	304.4	2875
"KAF4085649.1"	318.5	2931
"KAF4085703.1"	0	2700
"KAF4085816.1"	17.8	0
"KAF4086020.1"	0	3580
"KAF4086298.1"	0	3337
"KAF4086476.1"	308	2451
"KAF4086687.1"	302.3	2833
"KAF4086688.1"	303.6	2382
"KAF4086690.1"	303.9	2382
"KAF4086691.1"	188.4	0
"KAF4086692.1"	330.5	2970
"KAF4087377.1"	318.4	2848
"KAF4087381.1"	305.1	2366
"KAF4087382.1"	313.1	2581
"KAF4087391.1"	306.6	2753
"KAF4087761.1"	0	2877
"KAF4088434.1"	0	3305
"KAF4088503.1"	0	3298
"KAF4089498.1"	0	3030
"KAF4089747.1"	0	2700
"KAF4090212.1"	0	3755
"KAF4090760.1"	312.9	2817
"KAF4090798.1"	0	1431
"KAF4091490.1"	0	1779
"KAF4091549.1"	0	2391
"KAF4092086.1"	0	2747
"KAF4092196.1"	315.1	2679
"KAF4092368.1"	0	2700
"KAF4092555.1"	69.8	1682
"KAF4093074.1"	0	3239
"KAF4093140.1"	0	2142
"KAF4093233.1"	0	2966
"KAF4093565.1"	0	3290
"KAF4094051.1"	0	2610
"KAF4094180.1"	0	2561
"KAF4094301.1"	0	2324
"KAF4094343.1"	0	2359
"KAF4094418.1"	314.7	2546
"KAF4094436.1"	31.9	0
"KAF5880026.1"	0	2643
"KAF5880030.1"	306.7	2684
"KAF5881725.1"	323.5	2563
"KAF5881726.1"	329.2	2485
"KAF5882471.1"	327	2653
"KAF5882472.1"	103.1	1559
"KAF5882473.1"	109.2	0
"KAF5888572.1"	61	2103
"KAF5888622.1"	303.7	2508
"KAF5888694.1"	321.7	2546
"KAF5888695.1"	328.7	2669
"KAF5888733.1"	0	1833
"KAF5888783.1"	303.2	2684
"KAF5889003.1"	0	3075
"KAF5889015.1"	294.1	2018
"KAF5889016.1"	319.3	2744
"KAF5889017.1"	28.7	0
"KAF5889084.1"	0	2176
"KAF5889207.1"	0	2605
"KAF5889242.1"	0	2356
"KAF5889434.1"	322.9	2636
"KAF5889615.1"	314.7	2668
"KAF5889657.1"	0	3239
"KAF5890266.1"	0	2643
"KAF5890771.1"	154.4	0
"KAF5890772.1"	97.6	1597
"KAF5890773.1"	317.9	2810
"KAF5890774.1"	276.8	2271
"KAF5890923.1"	0	3128
"KAF5891361.1"	0	3503
"KAF5891534.1"	309.8	2433
"KAF5891858.1"	58.8	1661
"KAF5891892.1"	326.9	2726
"KAF5891893.1"	149.9	0
"KAF5891895.1"	324.1	2571
"KAF5891953.1"	0	2903
"KAF5892013.1"	0	3019
"KAF5892023.1"	0	3187
"KAF5892340.1"	0	2237
"KAF5892348.1"	159.7	0
"KAF5892355.1"	322.3	2403
"KAF5892702.1"	303.5	2844
"KAF5892703.1"	309.9	2910
"KAF5892982.1"	28.8	0
"KAF5893882.1"	303.9	2252
"KAF5893967.1"	0	3233
"KAF5894026.1"	327.4	3102
"KAF5894027.1"	328.5	2854
"KAF5894028.1"	326.3	2860
"KAF5894029.1"	322.9	2891
"KAF5894030.1"	150.3	1996
"KAF5894031.1"	324.4	2897
"KAF5894831.1"	0	3713
"KAF5896214.1"	0	3312
"KAF5896228.1"	0	2633
"KAF5896239.1"	0	3551
"KAF5896252.1"	0	2295
"KAF5896874.1"	29.7	0
"KAF5897590.1"	0	2639
"KAF5897850.1"	0	2643
"KAF5897985.1"	0	2283
"KAF5898907.1"	94.3	2567
"KAF5900773.1"	0	2536
"KAF5900790.1"	0	2270
"KAF5901012.1"	0	3665
"KAF5901098.1"	0	3363
"KAF5901188.1"	71.8	0
"KAF5901346.1"	0	2519
"KAF5901498.1"	0	3689
"KAF5901959.1"	0	1454
"KAF5902192.1"	303.4	2984
"KAF5902340.1"	0	2494
"KAF5902387.1"	0	2506
"KAF5902623.1"	0	2808
"KAF5904307.1"	0	3557
"KAF5904308.1"	0	1959
"KAF5904805.1"	96.9	2729
"KAF5905316.1"	94	2762
"KAF5906200.1"	307.7	2700
"KAF5906764.1"	0	2948
"KAF5906882.1"	0	3148
"KAF5907277.1"	24.2	0
"KAF5907279.1"	29.8	1443
"KAF5907825.1"	77.9	2171
"KAF5908271.1"	163.9	1575
"KAF5908720.1"	85.5	2543
"KAF5909319.1"	0	2088
"KAF5909508.1"	96.4	2658
"KAF5909558.1"	252.5	2433
"KAF5910211.1"	37.6	1851
"KAF7642137.1"	0	1439
"KAF7643370.1"	11.4	2953
"KAF7644140.1"	0	2299
"KAF7644247.1"	96.4	2636
"KAF7644491.1"	0	3732
"KAF7645417.1"	32.1	1869
"KAF7645897.1"	0	2486
"KAF7646389.1"	0	1418
"KAF7647024.1"	0	1868
"KAF7648334.1"	0	2216
"KAF7648345.1"	0	1982
"KAF7648821.1"	15.8	0
"KAF7649808.1"	57.4	2064
"KAF7649986.1"	0	1774
"KAF7650028.1"	94.9	2642
"KAF7650425.1"	44.3	2264
"KAF7650722.1"	0	2692
"KAF7651223.1"	149.5	1797
"KAF7651522.1"	46.7	2248
"KAF7651954.1"	0	3202
"KAF7652385.1"	0	3176
"KAF7652461.1"	0	3425
"KAF7652893.1"	0	1974
"KAF7653717.1"	95.6	2369
"KAF7654333.1"	0	3262
"KAF7654427.1"	0	1840
"KAF7656484.1"	20.5	0
"KAF7656491.1"	31.1	0
"KAF7656981.1"	0	3118
"KAF7656993.1"	78.3	2059
"KAF7657081.1"	97	2554
"KAF7657242.1"	0	3296
"KAF7657272.1"	0	3520
"KAF7657570.1"	0	3587
"KAF7658186.1"	106.6	2601
"KAF7658473.1"	60.6	2086
"KAF7659666.1"	8	0
"KAF7660266.1"	0	3065
"KAF7660564.1"	0	2948
"KAF7661140.1"	12.5	3150
"KAF7662123.1"	0	3576
"KAF7663005.1"	0	2005
"KAF7663158.1"	92.4	1518
"KAF7663620.1"	0	3284
"KAF7664552.1"	0	3203
"KAF7664795.1"	0	3459
"KAF7665391.1"	0	2246
"KAF7665442.1"	67	1883
"KAF7666199.1"	0	3451
"KAF7666629.1"	58.8	1799
"KAF7667407.1"	71	1916
"KAF7667471.1"	0	2765
"KAF7667549.1"	0	2989
"KAF7668178.1"	283.4	1647
"KAF7668556.1"	0	2312
"KAF7668686.1"	0	3739
"KAF7669429.1"	0	3283
"KAF7669504.1"	0	2191
"KAF7669600.1"	0	2946
"KAF7669627.1"	0	3026
"KAF7669800.1"	0	1896
"KAF7670368.1"	0	3330
"KAG7214459.1"	43.7	2269
"KAG7214499.1"	85	1757
"KAG7214562.1"	0	3037
"KAG7214828.1"	0	1408
"KAG7215013.1"	52.5	1776
"KAG7215023.1"	97.8	2716
"KAG7215358.1"	0	2921
"KAG7215627.1"	0	3246
"KAG7217195.1"	0	2361
"KAG7217629.1"	74.5	2161
"KAG7217741.1"	97.9	2716
"KAG7218072.1"	162.1	2073
"KAG7219307.1"	0	2343
"KAG7219784.1"	16.4	0
"KAG7219878.1"	0	3769
"KAG7220417.1"	0	3489
"KAG7221064.1"	0	3491
"KAG7223859.1"	98.2	2741
"KAG7223999.1"	0	3019
"KAG7224460.1"	58	2022
"KAG7224580.1"	0	1835
"KAG7224800.1"	0	2963
"KAG7225079.1"	71.1	2148
"KAG7225416.1"	102.3	2297
"KAG7225444.1"	0	3576
"KAG7225613.1"	0	2312
"KAG7226205.1"	0	2076
"KAG7226325.1"	0	2690
"KAG7227027.1"	17.2	0
"KAG7227132.1"	0	1817
"KAG7227686.1"	297.6	2075
"KAG7228347.1"	0	3203
"KAG7228885.1"	59.9	2137
"KAG7229484.1"	0	2015
"KAG7231367.1"	0	3176
"KAG7231472.1"	63	1894
"KAG7232871.1"	0	3366
"KAG7236034.1"	0	3074
"KAG7236127.1"	12.6	0
"KAG7237562.1"	0	2733
"KAG7238918.1"	0	1865
"KAG7238944.1"	0	2948
"KAG7239670.1"	101.6	2608
"KAG7240631.1"	38.7	2040
"KAG7240828.1"	0	3694
"KAG7240901.1"	0	2471
"KAG7240990.1"	0	3225
"KAG7241269.1"	0	1491
"KAG7241477.1"	0	3098
"KAG7242084.1"	0	3174
"KAG7242759.1"	0	2647
"KAG7242927.1"	0	2673
"KAG7243366.1"	0	1527
"KAG7243540.1"	0	3111
"KAG7244444.1"	0	2162
"KAG7244728.1"	24.7	0
"KAG7244936.1"	0	3474
"KAG7245962.1"	69.1	1967
"KAG7248674.1"	0	2398
"KAG7249123.1"	0	2336
"KAG7250964.1"	0	1812
"KAG7251652.1"	0	1732
"KAG7252486.1"	0	2378
"KAG7255784.1"	44.4	0
"KAG7255845.1"	76.9	2004
"KAG7256118.1"	0	1711
"KAG7256413.1"	0	1808
"KAG7257082.1"	31.6	1965
"KAG7257231.1"	142	1726
"KAG7257468.1"	89.5	2136
"KAG7258443.1"	0	3472
"KAG7258753.1"	35.6	1688
"KAG7259850.1"	47.7	0
"KAG7260536.1"	0	1862
"KAG7261869.1"	0	1957
"KAG7262058.1"	66.9	0
"KAG7263659.1"	68.6	0
"KAG7263935.1"	0	2445
"KAG7265289.1"	71.6	1861
"KAG7265312.1"	122.5	2003
"KAG7266315.1"	0	1570
"KAG7267027.1"	7.6	0
"KAG7267353.1"	0	2365
"KAG7267561.1"	28.8	0
"KAG7268300.1"	0	1872
"KAG7268524.1"	23.7	0
"KAG7268577.1"	0	3394
"KAG7268777.1"	13.4	0
"KAG7269045.1"	0	3416
"KAG7269374.1"	13	2883
"KAG7269630.1"	0	1498
"KAG7269632.1"	0	1490
"KAG7269957.1"	0	3440
"KAG7270397.1"	8.2	0
"KAG7271520.1"	41.4	1939
"KAG7271676.1"	0	1681
"KAG7271679.1"	0	1920
"KAG7272390.1"	0	3127
"KAG7272429.1"	0	3197
"KAG7272658.1"	0	1678
"KAG7272949.1"	10.5	3239
"KAG7273218.1"	0	2828
"KAG7274092.1"	0	3173
"KAG7275346.1"	0	1677
"KAG7276446.1"	0	2857
"KAG7277455.1"	0	1798
"KAG7278196.1"	0	2109
"KAG7279139.1"	0	3081
"KAG7279263.1"	0	1679
"KAG7279517.1"	0	1570
"KAG7279950.1"	0	1955
"KAG7280135.1"	0	1453
"KAG7280521.1"	28.1	0
"KAG7281450.1"	0	3590
"KAG7282367.1"	74.5	2209
"KAG7282491.1"	0	3204
"KAG7282647.1"	56	1566
"KAG7283584.1"	0	2091
"KAG7454574.1"	0	2397
"KAG7455202.1"	0	3131
"KAG7455969.1"	0	2357
"KAG7456002.1"	96.3	2178
"KAG7457548.1"	0	3113
"KAG7457859.1"	0	3526
"KAG7457979.1"	78.7	2406
"KAG7458469.1"	148.1	2263
"KAG7458553.1"	0	1425
"KAG7459038.1"	0	3690
"KAG7459701.1"	0	3239
"KAG7459809.1"	0	2049
"KAG7459924.1"	0	2928
"KAG7461021.1"	98.2	2421
"KAG7461085.1"	0	3067
"KAG7461521.1"	0	2948
"KAG7461632.1"	0	2416
"KAG7462493.1"	42.8	2195
"KAG7463525.1"	0	3307
"KAG7463714.1"	0	1661
"KAG7464832.1"	0	3444
"KAG7465642.1"	0	2837
"KAG7466212.1"	0	2236
"KAG7467959.1"	167.3	2183
"KAG7467960.1"	168.7	2288
"KAG7467961.1"	167.2	2202
"KAG7468409.1"	0	2578
"KAG7468617.1"	0	2147
"KAG7469185.1"	0	3325
"KAG7469425.1"	0	3257
"KAG7469436.1"	0	3587
"KAG7469756.1"	0	3238
"KAG7469913.1"	99.2	2723
"KAG7469938.1"	42.5	1855
"KAG7471039.1"	33.3	0
"KAG7471145.1"	79.3	1996
"KAG7471312.1"	74.2	1950
"KAG7471798.1"	0	3445
"KAG7471880.1"	0	3305
"KAG7472086.1"	0	2693
"KAG7472812.1"	29	0
"KAG7472813.1"	29.7	0
"KAG7472840.1"	53.7	1694
"KAG7473630.1"	34.6	1727
"KAG7473642.1"	159.8	2340
"KAG7473766.1"	0	2502
"KAG7476575.1"	0	1689
"KAG7476579.1"	0	2670
"KAG7476597.1"	0	3067
"KAG7476732.1"	0	3091
"KAG7476844.1"	0	3503
"KAG7476852.1"	0	3459
"KAG7477467.1"	0	3305
"KAG7477987.1"	0	3070
"KAG7478392.1"	0	2119
"KAG7478437.1"	92.4	2560
"KAG7480446.1"	102.5	2729
"KAG7480473.1"	0	3572
"KAG7480608.1"	0	3025
"KAG7480767.1"	0	3461
"KAG7480973.1"	0	3430
"KAG7481170.1"	0	2714
"KAG7481342.1"	43	2306
"KAG7481480.1"	98.8	2546
"KAG7483533.1"	0	3500
"KAG7483868.1"	79.5	2058
"KAG7484480.1"	76.2	1819
"KAG7484718.1"	0	3565
"KAG7487407.1"	0	2932
"KAG7488326.1"	61.5	2163
"KAG7488629.1"	0	3145
"KAG7492322.1"	0	3236
"KAG7492371.1"	308.5	2611
"KAG7999495.1"	0	2770
"KAG8001019.1"	0	2229
"KAG8001463.1"	0	2673
"KAG8001840.1"	79.3	2182
"KAG8002117.1"	21.4	0
"KAG8002686.1"	0	3203
"KAG8002777.1"	22.7	0
"KAG8003795.1"	0	2042
"KAG8005222.1"	0	3576
"KAG8005392.1"	0	1583
"KAG8006750.1"	0	2948
"KAG8007366.1"	0	3073
"KAG8007706.1"	97	2596
"KAG8008005.1"	0	1843
"KAG8008216.1"	76.1	1959
"KAG8008443.1"	0	3424
"KAG8008744.1"	287.6	1675
"KAG8008871.1"	0	1877
"KAG8010028.1"	0	3244
"KAG8010108.1"	0	3070
"KAG8010302.1"	39.2	2170
"KAG8010479.1"	0	2988
"KAG8010868.1"	0	2255
"KAG8010970.1"	0	2530
"KAG8011297.1"	0	1604
"KAG8011812.1"	0	3303
"KAG8011999.1"	0	3003
"KAG8012210.1"	0	3119
"KAG8012894.1"	0	1970
"KAG8013709.1"	0	1932
"KAG8013998.1"	0	1857
"KAG8014176.1"	12.2	3334
"KAG9328793.1"	0	1688
"KAG9328888.1"	75.8	1704
"KAG9329528.1"	0	2255
"KAG9330399.1"	0	2608
"KAG9330431.1"	0	2400
"KAG9332280.1"	75.8	1667
"KAG9332832.1"	12.7	0
"KAG9332833.1"	8.5	0
"KAG9333461.1"	167.3	2195
"KAG9334252.1"	60.2	1661
"KAG9334323.1"	0	3232
"KAG9334332.1"	0	2473
"KAG9334405.1"	0	2206
"KAG9334731.1"	0	2255
"KAG9335046.1"	0	1427
"KAG9335680.1"	0	2401
"KAG9336296.1"	0	2932
"KAG9337338.1"	0	2707
"KAG9338285.1"	0	1659
"KAG9338300.1"	0	2741
"KAG9339094.1"	87.5	2220
"KAG9340251.1"	0	3305
"KAG9340311.1"	0	2713
"KAG9340920.1"	0	2122
"KAG9342328.1"	0	2135
"KAG9342720.1"	98.7	2729
"KAG9342908.1"	0	2928
"KAG9344008.1"	0	1851
"KAG9345412.1"	0	2421
"KAG9347202.1"	0	2453
"KAG9347893.1"	0	3176
"KAG9348229.1"	13.6	0
"KAG9348259.1"	0	3277
"KAG9348382.1"	75.8	2072
"KAG9348834.1"	0	2445
"KAG9350191.1"	313.6	2882
"KAG9350192.1"	301.5	3012
"KAG9351459.1"	0	3415
"KAG9351621.1"	0	1882
